product_code;visited;add_to_cart;shipped
8613911702;44348;9460;1677
21744118910;32693;6715;1404
14893395013;24695;6073;1242
19257624125;18954;5769;1232
18550622861;21952;4454;947
11815060134;5553;2587;898
21650632631;20470;4243;811
13339139202;20246;5086;773
13126794949;20788;4432;790
22926855749;31387;4928;758
13806478771;15872;4294;693
21258407754;27476;3391;597
10641817617;22987;3358;541
11565155219;17707;3319;546
10465582081;12278;3039;528
13606484333;18690;3255;479
13526787831;23743;3278;487
13771170306;13969;2616;484
11476536398;8588;2484;467
5882490504;11881;2650;451
21355600190;14909;3068;429
10665425845;9582;2333;422
12637527360;8940;2195;387
10832427841;15101;2548;409
16835940080;12201;2351;380
14547583759;10525;2129;363
3775504845;12663;2289;368
16582218681;7319;1659;363
12010069536;13243;1943;376
10433811444;9538;1915;366
8598314632;16868;2153;377
18044128362;2931;1257;367
12384811285;14667;2321;348
9728363253;18487;2909;348
13538840040;8618;1741;340
17068212562;9053;1800;337
3897196788;11684;1921;346
19807811349;12953;2193;333
10864180158;9336;1470;327
8771022919;17595;1917;314
11965592536;10676;1906;305
20859236201;7635;1460;317
13738991750;7284;1475;309
10164678040;7053;1250;308
12475176665;8548;1553;287
13271179926;6152;1245;296
15380063195;13570;1803;275
13839092658;11759;1915;278
17872326222;11315;1689;283
10333804600;11713;2199;298
10381751340;6824;1328;284
4092812158;11730;1652;262
11148978920;7259;1421;255
13236144956;21610;1844;252
12136718322;6431;1314;247
11865596828;7660;1356;237
21473167871;4355;1127;235
10832440363;9044;1507;239
4297646724;6037;1214;231
22523919554;7600;1468;236
3895412181;8083;1392;229
13236139561;11397;1543;214
20454987728;5920;1100;232
13424100269;7387;1360;221
17927388624;4739;1101;220
19203479089;7977;1108;217
18357355447;4382;1128;214
12269708242;6460;1082;212
10924991559;8798;1502;209
14143370739;4151;762;210
19957629020;3840;1007;201
20554984020;6723;1183;206
20472116768;6475;1251;190
12037594445;4879;1048;193
16569361863;9003;1096;195
10063888944;15358;1332;210
3778096641;5489;1055;209
20225974498;9167;1181;196
11024832398;10025;1310;191
10791373171;9375;1186;195
11864193100;4432;989;187
12039104753;2911;706;194
10065515656;4397;884;184
19725977127;9370;1200;188
10565876493;4724;850;185
13336823456;3646;799;182
18255600141;4217;1129;176
13436912701;3185;759;180
7179771729;7357;1124;174
12939670158;3335;675;177
20034577288;3464;826;183
18030742717;4711;798;170
16089836863;7413;1221;170
13236628375;5219;1024;167
19068339200;4954;942;180
13439660505;2901;580;171
15190741602;3503;632;169
11364686050;3060;691;170
12210837250;5512;903;168
13270316924;2908;811;172
22123913665;7354;963;165
20857661639;3024;743;164
14730190596;5396;833;159
23723911995;3017;794;160
18114534860;3919;732;157
22719896384;5904;855;160
14814306196;7927;906;163
10865605648;7092;998;164
13936843754;2283;607;165
20050629846;6554;936;161
17973088088;4366;865;151
12975175491;2521;604;152
15496402216;3695;750;152
22102042792;5245;638;143
19946338808;2826;503;147
22102040466;4694;789;146
21971755859;5410;876;145
22123922175;3548;914;153
14774336846;2340;587;144
13893565725;4149;773;142
10181756947;2450;553;147
14404193665;1846;462;138
5685854374;3951;759;142
3579874118;6315;900;139
12238328454;3937;535;137
22823924219;3314;682;135
8893865185;7078;940;140
17180997234;2804;589;131
22820677306;5625;712;140
19672568301;4061;917;132
23220915888;2841;614;118
13036746447;2906;617;130
10513913625;4776;698;116
20445196987;1741;471;119
8977877422;3660;681;117
22520677439;2680;480;123
22320919027;3619;689;117
13838370781;3252;559;111
21145402671;1433;397;121
21657652135;3411;640;113
19413859332;2727;530;107
11557014088;4509;609;114
16881076757;4807;643;107
12539163349;6378;617;105
2984513608;6802;742;109
12275176254;2295;448;105
13639053150;1794;466;111
22500861026;7522;952;106
12738263358;1847;483;106
14684401446;3892;612;97
11364327231;1575;388;104
13424101000;3485;516;103
23123923733;1915;487;99
18562772963;4706;655;93
14496224702;2733;585;104
14084403050;8208;793;98
22328223652;3785;619;94
16259285491;13358;643;79
19657666853;2499;459;95
10765170844;2691;489;91
19257658984;2544;468;97
9281480210;7162;691;96
11865576502;6501;649;95
10385312701;1909;335;95
13639032717;2658;537;91
12739004072;2895;400;87
15611549807;2465;415;88
22513661122;7013;510;84
19844162904;2793;562;90
10541836979;4219;516;86
12938915339;1098;309;83
13336683266;2166;298;82
15726925975;2377;375;83
13039005137;2931;495;84
15863227680;2088;358;79
22119237063;3245;468;82
15477908684;1073;261;85
23018882174;2334;409;76
13938353089;1348;269;79
16892106793;2126;446;78
11465886337;1952;325;73
14653598711;2823;434;82
10913933922;3950;425;78
13739106973;1292;303;79
19440091546;1321;336;72
22323923415;1880;463;82
12139054149;5970;493;70
10081758570;2093;357;79
22403304887;1934;307;71
17088375776;1849;431;78
18342744425;2277;534;63
19242736905;1812;370;70
19057630442;1450;278;67
11664689632;1158;302;73
10320450533;2527;486;74
13839568751;5003;405;70
14657307951;3403;440;70
21573170402;1218;322;69
13496724977;994;262;69
14793004193;2786;455;72
13497191068;1835;298;66
14791248316;1106;261;72
12938414752;2176;398;71
12536767183;1242;236;72
17845170387;1094;238;68
15250094476;1817;343;68
23317419578;1929;334;69
14174291592;856;229;70
19971525387;2149;360;66
11265507196;1274;292;69
19171752269;1958;329;72
22129113283;1755;293;11
11777512840;1321;243;61
13738977817;1637;318;66
22720680123;3272;343;64
22205736121;4244;560;65
13039132787;3318;442;63
19930753150;1845;304;66
19059504003;1907;343;65
19947677258;2806;355;53
22902039682;2880;381;67
21057632976;2997;413;64
16447418731;1856;270;65
15311551666;1515;243;63
11665435388;756;222;64
13737503195;1248;312;63
17446354857;1023;254;62
8898276882;1506;238;61
10699139019;1785;343;62
19968338850;2260;401;62
16692664659;951;254;60
20772031696;2290;309;59
13438894027;960;222;63
18934564711;763;191;62
16669359802;2661;286;53
17789964242;5027;470;60
19371526219;1621;255;56
13238977511;1144;222;55
17546366479;878;273;61
17712557854;6649;438;55
12038405071;1507;304;56
12739109083;820;219;56
13836723403;724;170;61
12138317648;984;219;61
10187288063;1369;263;58
15540568918;1150;216;62
22519880059;2884;358;60
14433358851;1135;248;57
22119236456;1625;305;53
10965506753;1538;250;59
11664281660;1146;247;58
18135592452;1102;201;59
10365882473;1770;230;51
10274047649;1046;181;55
10477512124;1435;292;55
12779281502;5179;262;56
12636932220;1035;303;58
23803626503;1568;230;52
23819877470;1667;280;53
20814536671;1074;197;50
20225975308;4229;373;55
12398234967;894;229;51
9195978775;3229;420;50
18845396023;444;139;55
19447698759;2543;395;50
21173170869;829;184;53
14830192780;1138;216;51
3196410917;2743;341;50
20257621805;1608;372;52
12270328738;927;211;55
12139671247;845;180;56
19446790107;1223;258;48
14405235472;1378;239;50
18657666053;951;213;46
16386408408;1159;242;48
15464555804;929;182;45
14147889165;2664;314;51
18859331909;1773;267;49
23602237159;1295;287;49
13038870322;1433;202;45
19957363525;1703;247;45
18438896252;3472;446;48
14264551513;1664;407;46
13038335759;739;193;46
10092896010;660;190;45
22702217284;3684;302;46
13938239861;1252;247;49
21659732423;1389;242;42
19259736456;691;182;33
12738848154;1216;241;46
11365182156;584;151;44
13182145983;1107;206;40
