sku_internal;varian;varian_kosong;stock;umur_stock;avg_daily_sales
APP100136;6;0;626;45;14
APP100317;6;0;271;68;4
APP100336;6;0;425;71;6
APP100439;5;0;969;26;38
APP100093;6;1;39;13;3
APP100389;6;0;430;108;4
APP100169;6;6;0;0;0
APP100333;6;0;518;58;9
APP100386;6;6;0;0;0
APP100157;6;6;0;0;0
APP100500;6;0;860;54;16
APP100275;6;0;663;61;11
APP100310;6;6;0;0;0
APP100362;6;1;0;0;1
APP100198;6;6;0;0;0
APP100283;6;6;0;0;0
APP100321;6;0;511;86;6
APP100377;6;0;232;116;2
APP100117;6;0;447;45;10
APP100138;6;0;607;44;14
APP100344;6;6;0;0;0
APP100107;6;0;245;31;8
APP100322;6;0;349;44;8
APP100269;6;6;0;0;0
APP100351;6;0;210;70;3
APP100277;6;0;373;29;13
APP100484;6;0;389;30;13
APP100376;6;0;657;42;16
APP100126;6;1;223;112;2
APP100159;6;6;0;0;0
APP100278;6;6;0;0;0
APP100105;6;0;1251;35;36
APP100315;6;0;912;42;22
APP1300373;6;0;278;56;5
APP100177;6;0;419;53;8
APP100296;6;5;0;0;1
APP100257;6;1;13;13;1
APP100485;6;1;0;0;1
APP100172;6;6;0;0;0
APP100328;6;0;1364;42;33
APP100306;6;0;79;79;1
APP100390;5;1;382;77;5
APP100346;5;1;379;64;6
APP100115;6;0;325;65;5
APP100200;6;6;0;0;0
APP100349;6;0;537;36;15
APP100122;6;0;466;94;5
APP100128;6;0;14;4;4
APP100134;6;0;368;74;5
APP100270;6;6;0;0;0
APP100388;5;0;463;52;9
APP100406;6;0;423;85;5
APP100378;6;0;343;32;11
APP100279;6;6;0;0;0
APP100280;6;6;0;0;0
APP100314;6;0;788;42;19
APP100284;6;6;0;0;0
APP100353;6;0;334;84;4
APP100149;6;3;0;0;1
APP100203;6;0;416;60;7
APP100245;6;0;327;66;5
APP100391;6;1;205;103;2
APP100252;6;1;0;0;1
APP100187;6;6;0;0;0
APP100405;6;0;502;84;6
APP100387;5;0;804;67;12
APP100289;6;2;14;14;1
APP100208;6;3;0;0;1
APP100319;6;0;630;63;10
APP100325;6;0;261;131;2
APP100326;6;6;0;0;0
APP100266;6;6;0;0;0
APP100492;6;0;673;57;12
APP100268;6;6;0;0;0
APP100118;6;0;429;39;11
APP100141;6;0;308;62;5
APP100358;6;0;1155;42;28
APP100295;6;6;0;0;0
APP100227;6;0;486;45;11
APP100305;6;0;14;4;4
APP100382;6;0;448;41;11
APP100152;6;6;0;0;0
APP100120;6;0;527;132;4
APP100392;6;0;1831;47;39
APP100330;6;0;411;30;14
APP100262;6;3;16;16;1
APP100160;6;6;0;0;0
APP100243;6;2;15;15;1
APP100163;6;6;0;0;0
APP100355;6;0;574;48;12
APP100167;6;6;0;0;0
APP100312;6;6;0;0;0
APP100171;6;6;0;0;0
APP100247;6;0;30;30;1
APP100174;6;6;0;0;0
APP100272;6;6;0;0;0
APP100179;6;0;1003;23;44
APP100499;6;0;208;52;4
